ID,Campaign_ID,New_User_Revenue,Returning_User_Revenue
242,CAMP242,84849,10266
243,CAMP243,89794,2487
244,CAMP244,26676,67323
245,CAMP245,71887,50022
246,CAMP246,27524,33183
247,CAMP247,19166,5515
248,CAMP248,44853,3788
249,CAMP249,44962,20966
250,CAMP250,44641,62737
251,CAMP251,94595,49541
252,CAMP252,11091,7573
253,CAMP253,29825,11458
254,CAMP254,72636,73924
255,CAMP255,23639,70371
256,CAMP256,88628,47593
257,CAMP257,18944,32606
258,CAMP258,21229,60647
259,CAMP259,14346,54915
260,CAMP260,82996,836
261,CAMP261,4627,45756
262,CAMP262,42935,47281
263,CAMP263,10019,15658
264,CAMP264,8665,34719
265,CAMP265,7508,5005
266,CAMP266,18932,33396
267,CAMP267,77656,72303
268,CAMP268,58989,64293
269,CAMP269,2660,66422
270,CAMP270,32391,18106
271,CAMP271,64330,52599
272,CAMP272,31227,15481
273,CAMP273,7741,66692
274,CAMP274,3863,48065
275,CAMP275,3042,24444
276,CAMP276,53998,74255
277,CAMP277,33836,5498
278,CAMP278,22705,61674
279,CAMP279,66048,19576
280,CAMP280,25480,24028
281,CAMP281,21955,74627
282,CAMP282,35064,49012
283,CAMP283,2762,37882
284,CAMP284,90238,12519
285,CAMP285,71781,62545
286,CAMP286,18436,52526
287,CAMP287,79108,63843
288,CAMP288,36441,67981
289,CAMP289,8013,2112
290,CAMP290,11841,64052
291,CAMP291,84077,70182
292,CAMP292,88459,1936
293,CAMP293,59059,61668
294,CAMP294,52789,19323
295,CAMP295,89035,12558
296,CAMP296,61088,65692
297,CAMP297,90567,21474
298,CAMP298,55750,35145
299,CAMP299,57581,54312
300,CAMP300,60421,36376
