ID,Campaign_ID,Impressions,Clicks,Sign_Ups,Conversions
72,CAMP072,988747,122377,9942,5716
73,CAMP073,489950,192725,17234,11168
74,CAMP074,450301,135473,919,27759
75,CAMP075,709919,163808,7300,18384
76,CAMP076,871188,102685,25083,27341
77,CAMP077,859814,97127,22365,19222
78,CAMP078,929220,87391,4970,1659
79,CAMP079,450386,191319,29861,11642
80,CAMP080,882263,130717,1199,22118
81,CAMP081,672893,92910,2656,16006
82,CAMP082,299096,8331,5930,17353
83,CAMP083,898069,155377,43916,29040
84,CAMP084,526647,199900,46064,28770
85,CAMP085,18527,197387,21511,26649
86,CAMP086,382559,144688,24738,9565
87,CAMP087,628281,66851,34345,8156
88,CAMP088,910057,174211,542,703
89,CAMP089,633254,63000,21168,554
90,CAMP090,680169,72117,43492,417
91,CAMP091,817827,76249,33893,9259
92,CAMP092,837198,17694,14136,25403
93,CAMP093,150061,155890,17201,19661
94,CAMP094,249369,99316,9918,1047
95,CAMP095,938637,164295,46292,6008
96,CAMP096,163699,5329,31951,13787
97,CAMP097,959786,167479,46329,13399
98,CAMP098,545399,70419,37964,12344
99,CAMP099,564239,3345,18381,28012
100,CAMP100,374242,72196,16510,21127
101,CAMP101,279896,27063,30207,5173
102,CAMP102,354319,162574,32847,14461
103,CAMP103,138641,20977,10065,20252
104,CAMP104,493171,152285,8860,27965
105,CAMP105,49538,176089,8350,27087
106,CAMP106,901121,21247,27765,6272
107,CAMP107,992702,134981,30010,21253
108,CAMP108,511047,11563,15299,5452
109,CAMP109,462106,103793,39232,6961
110,CAMP110,812506,141087,32049,20610
111,CAMP111,506920,170807,25067,25813
112,CAMP112,827663,13320,43390,1638
113,CAMP113,359535,46031,39285,5059
114,CAMP114,793403,1011,6952,22972
115,CAMP115,957163,135938,27155,24619
116,CAMP116,798109,17154,44866,5358
117,CAMP117,817886,27204,17856,1019
118,CAMP118,81685,180183,20061,12437
119,CAMP119,34983,66483,8108,13259
120,CAMP120,917306,168809,20254,18097
121,CAMP121,474487,98847,8063,19660
122,CAMP122,287553,196239,43114,16997
123,CAMP123,846965,171866,33771,8577
124,CAMP124,629366,45259,35609,18765
125,CAMP125,658779,35851,12251,26806
126,CAMP126,421509,3381,13916,19864
127,CAMP127,983752,199945,10366,24327
128,CAMP128,206011,62381,36575,26777
129,CAMP129,735144,183352,49033,2339
130,CAMP130,226401,90401,21013,10727
131,CAMP131,859429,152844,15992,3913
132,CAMP132,229102,43850,19419,5150
133,CAMP133,521122,15109,6684,16408
134,CAMP134,448335,102524,24609,7581
135,CAMP135,588905,153301,29211,6813
136,CAMP136,503085,111434,2788,17992
137,CAMP137,623669,143430,32458,1422
138,CAMP138,881345,186622,16887,4128
139,CAMP139,490424,165905,47659,7261
140,CAMP140,80129,33407,19606,29752
141,CAMP141,86138,76434,36354,959
142,CAMP142,197615,41787,3721,17663
143,CAMP143,391031,36910,2018,28867
144,CAMP144,373787,96798,36941,7642
145,CAMP145,264264,156105,13033,6831
146,CAMP146,526085,154427,45215,8720
147,CAMP147,640207,33760,8244,22006
148,CAMP148,704465,17223,21025,10052
149,CAMP149,539529,162317,30595,8994
150,CAMP150,535121,191137,1066,5300
151,CAMP151,327476,165741,3375,16461
152,CAMP152,417290,7799,42741,16826
153,CAMP153,929577,132456,21251,3869
154,CAMP154,480988,40392,20670,21761
155,CAMP155,606040,4581,29835,5733
156,CAMP156,270146,1351,33625,265
157,CAMP157,57628,84717,47498,11121
158,CAMP158,645027,3097,39592,19664
159,CAMP159,171475,116064,10719,14911
160,CAMP160,32922,45261,45707,11150
161,CAMP161,98583,59387,4323,28608
162,CAMP162,420548,52656,11571,7972
163,CAMP163,156524,162457,49265,27871
164,CAMP164,763166,16456,41546,22163
165,CAMP165,946392,56814,19951,28982
166,CAMP166,235326,162564,459,21414
167,CAMP167,179187,178337,20911,4796
168,CAMP168,775987,133084,14234,24689
169,CAMP169,45025,122523,30216,12612
170,CAMP170,207783,172053,38070,3606
171,CAMP171,642893,90453,26927,18682
172,CAMP172,359813,26933,19223,4265
173,CAMP173,584645,55997,6406,18796
174,CAMP174,882972,23115,32948,12027
175,CAMP175,244925,38712,33408,15136
176,CAMP176,730391,157178,47597,3519
177,CAMP177,137482,57685,28780,7742
178,CAMP178,228543,34662,45301,13007
179,CAMP179,937854,185587,24912,19072
180,CAMP180,100791,143408,25920,22938
181,CAMP181,992878,163532,26365,127
182,CAMP182,179619,84529,3522,24251
183,CAMP183,961530,180333,44255,28640
184,CAMP184,962173,175038,32969,4846
185,CAMP185,15042,152849,38687,638
186,CAMP186,222545,67299,21597,13591
187,CAMP187,715106,168464,29855,28367
188,CAMP188,355550,155276,42270,15519
189,CAMP189,73483,94071,36214,28797
190,CAMP190,564073,37830,6768,15902
191,CAMP191,829301,59529,3045,26651
192,CAMP192,430216,20218,13695,10147
193,CAMP193,980936,47688,10279,26570
194,CAMP194,418136,116489,10273,12141
195,CAMP195,901570,135275,33652,6849
196,CAMP196,315186,65295,32127,14824
197,CAMP197,60138,167310,36714,4818
198,CAMP198,444699,193460,23140,25118
199,CAMP199,618876,138521,22635,21808
200,CAMP200,242587,145915,34719,12034
201,CAMP201,807032,114500,23000,5156
202,CAMP202,704692,52351,45667,6565
203,CAMP203,292494,158176,39432,28318
204,CAMP204,324545,179062,47632,9380
205,CAMP205,292572,106282,36665,15779
206,CAMP206,130785,10233,18266,12349
207,CAMP207,392175,60677,31331,2369
208,CAMP208,259802,188654,19756,13643
209,CAMP209,310848,73794,31443,21319
210,CAMP210,883034,13893,34830,18632
211,CAMP211,745837,197218,19525,14339
212,CAMP212,900402,35936,22696,17196
213,CAMP213,973274,67090,41841,18317
214,CAMP214,111836,76023,32497,28830
215,CAMP215,45569,66164,44045,29178
216,CAMP216,803895,149841,16812,909
217,CAMP217,397440,76576,23274,12814
218,CAMP218,888090,83680,9666,27417
219,CAMP219,68114,20851,25840,15005
220,CAMP220,363657,93287,41670,28825
221,CAMP221,932607,159153,18407,24725
222,CAMP222,42843,183026,26956,22992
223,CAMP223,798398,101876,7796,5926
224,CAMP224,652099,52113,2409,5928
225,CAMP225,786692,182351,42523,12731
226,CAMP226,120505,1510,48129,17320
227,CAMP227,14090,34479,18201,25446
228,CAMP228,46483,79369,24954,27997
229,CAMP229,454688,45619,19067,27523
230,CAMP230,943183,55506,8543,21954
231,CAMP231,942672,114668,4062,10060
232,CAMP232,116253,190553,9224,14521
233,CAMP233,79414,108739,24399,9704
234,CAMP234,997396,14979,45343,15236
235,CAMP235,221459,159197,44166,17789
236,CAMP236,789155,182497,39978,6507
237,CAMP237,588129,24581,23018,24300
238,CAMP238,996256,43433,33212,27646
239,CAMP239,340110,16266,38005,10559
240,CAMP240,74327,79809,42644,17402
241,CAMP241,444840,93859,48228,282
242,CAMP242,821158,92342,36398,8004
243,CAMP243,554316,58111,6869,27843
244,CAMP244,183275,199037,27600,29916
245,CAMP245,784786,195558,7272,19806
246,CAMP246,539288,45482,24259,19732
247,CAMP247,392024,1447,34531,9981
248,CAMP248,40425,160291,23150,27529
249,CAMP249,704566,129406,4993,13176
250,CAMP250,470340,176101,22477,11872
251,CAMP251,108017,15090,34132,15976
252,CAMP252,192616,175978,1649,24292
253,CAMP253,844879,53152,37239,93
254,CAMP254,742053,154300,49293,8819
255,CAMP255,139540,148448,40464,27648
256,CAMP256,848047,110809,47255,12695
257,CAMP257,805379,176646,25807,14648
258,CAMP258,516059,148461,28770,18603
259,CAMP259,41397,181977,43862,29921
260,CAMP260,368151,194648,4105,3294
261,CAMP261,357798,33630,42610,19259
262,CAMP262,333196,2705,17160,565
263,CAMP263,429114,173711,48342,26043
264,CAMP264,327627,23685,13544,28845
265,CAMP265,872943,95150,41046,10797
266,CAMP266,518214,181119,33171,21588
267,CAMP267,753369,134949,42980,19984
268,CAMP268,550531,79676,12181,23091
269,CAMP269,89283,136012,12847,5464
270,CAMP270,627042,59383,23440,26880
271,CAMP271,824871,102310,22185,6146
272,CAMP272,746339,147587,16978,19344
273,CAMP273,294441,160173,30068,11748
274,CAMP274,97865,180855,36457,8383
275,CAMP275,590805,24938,7163,6024
276,CAMP276,262249,187864,23571,9097
277,CAMP277,190525,6576,26279,9047
278,CAMP278,386175,174491,40202,12175
279,CAMP279,630120,145394,40020,12063
280,CAMP280,626371,125385,43382,19852
281,CAMP281,273483,184977,6338,24708
282,CAMP282,356028,19881,46979,4104
283,CAMP283,748458,176695,40313,4664
284,CAMP284,439688,55999,37957,26236
285,CAMP285,913797,188267,34222,24029
286,CAMP286,598715,153155,10448,18995
287,CAMP287,915849,136270,25731,3579
288,CAMP288,690352,188117,17079,14860
289,CAMP289,101934,22015,31910,4322
290,CAMP290,540062,40939,37111,7041
291,CAMP291,881751,60025,11523,13763
292,CAMP292,923504,17810,19319,24880
293,CAMP293,683469,93870,35723,29893
294,CAMP294,174353,165944,31393,11123
295,CAMP295,46342,42004,709,5581
296,CAMP296,90303,53529,12304,26661
297,CAMP297,476300,171679,10584,26390
298,CAMP298,913533,140401,12112,17365
299,CAMP299,33723,81712,49690,10555
300,CAMP300,356586,46113,12098,13083
